商品代號,履約價格,到期月份(週別),買賣權別,成交時間,成交價格,成交數量(BorS)
TXO,8500.0,201610W4,C,100119.0,765.0,1.0
TXO,8500.0,201610W4,C,100119.0,765.0,1.0
TXO,8500.0,201610W4,P,85032.0,0.7,1.0
TXO,8500.0,201610W4,P,85032.0,0.7,1.0
TXO,8500.0,201610W4,P,85046.0,0.7,1.0
TXO,8500.0,201610W4,P,85046.0,0.7,1.0
TXO,8500.0,201610W4,P,85111.0,0.7,3.0
TXO,8500.0,201610W4,P,85111.0,0.7,3.0
TXO,8500.0,201610W4,P,85231.0,0.8,4.0
TXO,8500.0,201610W4,P,85231.0,0.8,1.0
TXO,8500.0,201610W4,P,85231.0,0.8,3.0
TXO,8500.0,201610W4,P,85452.0,0.7,1.0
TXO,8500.0,201610W4,P,85452.0,0.7,1.0
TXO,8500.0,201610W4,P,85452.0,0.8,3.0
TXO,8500.0,201610W4,P,85452.0,0.8,3.0
TXO,8500.0,201610W4,P,85631.0,0.8,9.0
TXO,8500.0,201610W4,P,85631.0,0.8,1.0
TXO,8500.0,201610W4,P,85631.0,0.8,8.0
TXO,8500.0,201610W4,P,85801.0,0.8,4.0
TXO,8500.0,201610W4,P,85801.0,0.8,1.0
TXO,8500.0,201610W4,P,85801.0,0.8,3.0
TXO,8500.0,201610W4,P,85907.0,0.6,1.0
TXO,8500.0,201610W4,P,85907.0,0.6,1.0
TXO,8500.0,201610W4,P,90631.0,0.6,20.0
TXO,8500.0,201610W4,P,90631.0,0.6,20.0
TXO,8500.0,201610W4,P,90632.0,0.6,9.0
TXO,8500.0,201610W4,P,90632.0,0.6,9.0
TXO,8500.0,201610W4,P,90750.0,0.6,5.0
TXO,8500.0,201610W4,P,90750.0,0.6,5.0
TXO,8500.0,201610W4,P,91154.0,0.6,20.0
TXO,8500.0,201610W4,P,91154.0,0.6,5.0
TXO,8500.0,201610W4,P,91154.0,0.6,10.0
TXO,8500.0,201610W4,P,91154.0,0.6,5.0
TXO,8500.0,201610W4,P,92304.0,0.6,10.0
TXO,8500.0,201610W4,P,92304.0,0.6,10.0
