商品代號,履約價格,到期月份(週別),買賣權別,成交時間,成交價格,成交數量(BorS)
TXO,7900.0,201606W2,C,132929.0,645.0,1.0
TXO,7900.0,201606W2,C,132929.0,645.0,1.0
TXO,7900.0,201606W2,C,133015.0,645.0,1.0
TXO,7900.0,201606W2,C,133015.0,645.0,1.0
TXO,7900.0,201606W2,P,90347.0,0.4,1.0
TXO,7900.0,201606W2,P,90347.0,0.4,1.0
TXO,7900.0,201606W2,P,122315.0,0.3,1.0
TXO,7900.0,201606W2,P,122315.0,0.3,1.0
TXO,7900.0,201606W2,P,122419.0,0.3,1.0
TXO,7900.0,201606W2,P,122419.0,0.3,1.0
TXO,8000.0,201606W2,P,90106.0,0.4,2.0
TXO,8000.0,201606W2,P,90106.0,0.4,2.0
TXO,8000.0,201606W2,P,113809.0,0.5,1.0
TXO,8000.0,201606W2,P,113809.0,0.5,1.0
TXO,8000.0,201606W2,P,113818.0,0.4,1.0
TXO,8000.0,201606W2,P,113818.0,0.4,1.0
TXO,8000.0,201606W2,P,120522.0,0.5,1.0
TXO,8000.0,201606W2,P,120522.0,0.5,1.0
TXO,8000.0,201606W2,P,120547.0,0.5,1.0
TXO,8000.0,201606W2,P,120547.0,0.5,1.0
TXO,8000.0,201606W2,P,123548.0,0.4,200.0
TXO,8000.0,201606W2,P,123548.0,0.4,1.0
TXO,8000.0,201606W2,P,123548.0,0.4,1.0
TXO,8000.0,201606W2,P,123548.0,0.4,198.0
TXO,8000.0,201606W2,P,123553.0,0.4,4.0
TXO,8000.0,201606W2,P,123553.0,0.4,2.0
TXO,8000.0,201606W2,P,123553.0,0.4,2.0
TXO,8000.0,201606W2,P,133841.0,0.3,6.0
TXO,8000.0,201606W2,P,133841.0,0.3,2.0
TXO,8000.0,201606W2,P,133841.0,0.3,1.0
TXO,8000.0,201606W2,P,133841.0,0.3,3.0
TXO,8100.0,201606W2,P,84755.0,1.0,20.0
TXO,8100.0,201606W2,P,84755.0,1.0,20.0
TXO,8100.0,201606W2,P,84957.0,1.0,20.0
TXO,8100.0,201606W2,P,84957.0,1.0,20.0
TXO,8100.0,201606W2,P,85500.0,1.0,20.0
TXO,8100.0,201606W2,P,85500.0,1.0,20.0
TXO,8100.0,201606W2,P,85520.0,1.0,20.0
TXO,8100.0,201606W2,P,85520.0,1.0,20.0
TXO,8100.0,201606W2,P,85628.0,1.0,20.0
TXO,8100.0,201606W2,P,85628.0,1.0,20.0
TXO,8100.0,201606W2,P,85717.0,1.0,1.0
TXO,8100.0,201606W2,P,85717.0,1.0,1.0
TXO,8100.0,201606W2,P,85904.0,1.0,3.0
TXO,8100.0,201606W2,P,85904.0,1.0,3.0
TXO,8100.0,201606W2,P,85950.0,0.9,1.0
TXO,8100.0,201606W2,P,85950.0,0.9,1.0
TXO,8100.0,201606W2,P,90738.0,0.9,3.0
TXO,8100.0,201606W2,P,90738.0,0.9,1.0
TXO,8100.0,201606W2,P,90738.0,0.9,2.0
TXO,8100.0,201606W2,P,90814.0,0.9,4.0
TXO,8100.0,201606W2,P,90814.0,0.9,2.0
TXO,8100.0,201606W2,P,90814.0,0.9,2.0
TXO,8100.0,201606W2,P,90848.0,0.9,3.0
TXO,8100.0,201606W2,P,90848.0,0.9,3.0
TXO,8100.0,201606W2,P,91248.0,0.8,1.0
TXO,8100.0,201606W2,P,91248.0,0.8,1.0
TXO,8100.0,201606W2,P,91725.0,0.8,2.0
TXO,8100.0,201606W2,P,91725.0,0.8,1.0
TXO,8100.0,201606W2,P,91725.0,0.8,1.0
TXO,8100.0,201606W2,P,92150.0,0.7,3.0
TXO,8100.0,201606W2,P,92150.0,0.7,1.0
TXO,8100.0,201606W2,P,92150.0,0.7,1.0
TXO,8100.0,201606W2,P,92150.0,0.7,1.0
TXO,8100.0,201606W2,P,92150.0,0.6,1.0
TXO,8100.0,201606W2,P,92150.0,0.6,1.0
TXO,8100.0,201606W2,P,92150.0,0.6,1.0
TXO,8100.0,201606W2,P,92150.0,0.6,1.0
TXO,8100.0,201606W2,P,92150.0,0.6,1.0
TXO,8100.0,201606W2,P,92150.0,0.6,92.0
TXO,8100.0,201606W2,P,92150.0,0.6,97.0
TXO,8100.0,201606W2,P,93501.0,0.7,1.0
TXO,8100.0,201606W2,P,93501.0,0.7,1.0
TXO,8100.0,201606W2,P,95547.0,0.5,4.0
TXO,8100.0,201606W2,P,95547.0,0.5,1.0
TXO,8100.0,201606W2,P,95547.0,0.5,1.0
TXO,8100.0,201606W2,P,95547.0,0.5,1.0
TXO,8100.0,201606W2,P,95547.0,0.5,1.0
TXO,8100.0,201606W2,P,95623.0,0.7,1.0
TXO,8100.0,201606W2,P,95623.0,0.7,1.0
TXO,8100.0,201606W2,P,100249.0,0.6,7.0
TXO,8100.0,201606W2,P,100249.0,0.6,7.0
TXO,8100.0,201606W2,P,100250.0,0.6,8.0
TXO,8100.0,201606W2,P,100250.0,0.6,8.0
TXO,8100.0,201606W2,P,100253.0,0.6,9.0
TXO,8100.0,201606W2,P,100253.0,0.6,9.0
TXO,8100.0,201606W2,P,100257.0,0.6,17.0
TXO,8100.0,201606W2,P,100257.0,0.6,17.0
TXO,8100.0,201606W2,P,102028.0,0.6,150.0
TXO,8100.0,201606W2,P,102028.0,0.6,150.0
TXO,8100.0,201606W2,P,102859.0,0.6,5.0
TXO,8100.0,201606W2,P,102859.0,0.6,5.0
TXO,8100.0,201606W2,P,110357.0,0.7,5.0
TXO,8100.0,201606W2,P,110357.0,0.7,1.0
TXO,8100.0,201606W2,P,110357.0,0.7,1.0
TXO,8100.0,201606W2,P,110357.0,0.7,3.0
